<head><title>Dallas vs. Philadelphia</title></head><link rel="stylesheet" href="https://ezaco.github.io/SimFBACommentary/css/gamestyles.css">																																	
<div class="welcome"> Welcome everybody to AT&T Stadium here in Dallas, Texas.<br />																																	
It's great matchup today between the <strong> Dallas Cowboys </strong> and the <strong> Philadelphia Eagles </strong>.<br />																																	
We're getting under way here now, let's take it down to the field!<br />																																	
Click here to <a href="javascript:history.back()">go back</a> at any time.</div>																																	
<div class="team-logos"><img class="home-logo" src="https://ezaco.github.io/SimFBACommentary/images/Dallas.png"> <img class="away-logo" src="https://ezaco.github.io/SimFBACommentary/images/Philadelphia.png"></div>																																	
<table style="margin:auto;width:90%;margin-bottom:75px"><thead>																																	
<tr>	<th>	Quarter	</th>	<th>	Time Remaining	</th>	<th>	Possession	</th>	<th>	Down	</th>	<th>	Distance	</th>	<th>	Line Of Scrimmage	</th>	<th>	Type of Play	</th>	<th>	Result	</th>	<th>	DAL Score	</th>	<th>	PHI Score	</th>	</tr>	</thead>	<tbody>
<tr>	<td>	1	</td>	<td>	7:44	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	10	</td>	<td>	24 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Christopher Lee for 8 yards. Tackled by ILB Jose Ortega.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	7:4	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	2	</td>	<td>	16 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 7 yards. Ran out of bounds.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	6:44	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	9	</td>	<td>	9 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to RB Timothy Miller for 6 yards. Tackled by SS Ryan Reininger.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	6:3	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	3	</td>	<td>	3 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for RB Timothy Miller.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	5:41	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	3	</td>	<td>	3 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for WR Antonio Arellano.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	5:18	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	3	</td>	<td>	3 PHI	</td>	<td>	Field Goal	</td>	<td>	K Michael Cox's 21 yard field goal attempt is no good.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	5:12	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	3 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Charles Thomas for 0 yards. Tackled by ILB Steven Othon.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	4:32	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	3 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool intercepted by CB Kevin Kline returned to 5 yards from the LOS. intended for WR Enrique Nunes.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	4:20	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	8	</td>	<td>	8 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 3 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	3:40	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	5	</td>	<td>	5 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 5 yards. <span class="touchdown">TOUCHDOWN</span>!	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	3:19	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	3 PHI	</td>	<td>	Extra Point	</td>	<td>	K Michael Cox's extra point attempt is good.	</td>	<td>	13	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	3:19	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 64 yards. Fielded at the 1 yardline by RB Michael VanceRB Michael Vance returns the ball 23 yards. Tackled by ILB Steven Othon.	</td>	<td>	14	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	3:7	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	24 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 58 yards. Tackled by CB Kevin Kline.	</td>	<td>	14	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	2:49	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	18 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 11 yards. Tackled by DE Michael Dyson and ILB Steven Othon.	</td>	<td>	14	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	2:32	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	7	</td>	<td>	7 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 7 yards. <span class="touchdown">TOUCHDOWN</span>!	</td>	<td>	14	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	2:15	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	3 DAL	</td>	<td>	Extra Point	</td>	<td>	K Gary Brooks's extra point attempt is no good.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	2:15	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 PHI	</td>	<td>	Kickoff	</td>	<td>	K Gary Brooks kicks for 70 yards. Fielded 5 yards. deep in the endzone by RB Ramon MunozRB Ramon Munoz returns the ball 19 yards. Tackled by ILB Morgan King.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	2:6	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	14 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Ronald Geda for 34 yards. Tackled by SS Ryan Reininger.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	1:46	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	48 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 8 yards. Tackled by OLB Mark Soto.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	1:6	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	2	</td>	<td>	44 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel scrambles for 5 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	0:46	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	39 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for -2 yards. Ran out of bounds.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	0:18	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	12	</td>	<td>	41 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 1 yard. Tackled by DT Leon Payne.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	15:00	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	11	</td>	<td>	40 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for WR Antonio Arellano.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	14:38	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	11	</td>	<td>	40 PHI	</td>	<td>	Punt	</td>	<td>	P William Shuck punts for 63 yards. Touchback.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	14:28	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	20 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 3 yards. Tackled by CB Thomas Calame.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	13:49	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	7	</td>	<td>	23 PHI	</td>	<td>	Run	</td>	<td>	RB Joel Hernandez carries for 3 yards. Tackled by ILB Steven Othon.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	13:12	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	4	</td>	<td>	26 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Pedro Ekeler for 7 yards. Tackled by ILB Steven Othon.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	12:51	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	33 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Pedro Ekeler.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	12:33	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	33 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Enrique Nunes for 10 yards. Tackled by FS James Garnette.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	12:15	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 7 yards. Tackled by DE Michael Dewitt.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	11:33	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	3	</td>	<td>	50	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool intercepted by CB Thomas Calame returned to -7 yards from the LOS. intended for WR Pedro Ekeler.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	11:24	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 2 yards. Tackled by FS Leonard Vaughn. Fumbled. Recovered by WR Ronald Geda.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	10:42	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	8	</td>	<td>	41 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 0 yards. Tackled by ILB Jose Ortega.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	10:00	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	8	</td>	<td>	41 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for TE Henry Green. <span class="penalty">PENALTY</span>: Intentional Grounding QB Jessie Noel	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	9:39	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	18	</td>	<td>	49 DAL	</td>	<td>	Punt	</td>	<td>	P William Shuck punts for 67 yards. Touchback.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	9:27	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	20 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for TE Matthew Lee.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	9:5	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	20 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 3 yards. Ran out of bounds.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	8:38	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	7	</td>	<td>	23 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Pedro Ekeler.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	8:17	</td>	<td>	PHI	</td>	<td>	4	</td>	<td>	7	</td>	<td>	23 PHI	</td>	<td>	Punt	</td>	<td>	P Howard Martin punts for 59 yards. RB Ramon Munoz returns the ball 7 yards. Ran out of bounds.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	8:9	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 4 yards. Tackled by DT Leon Payne.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	7:27	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	6	</td>	<td>	29 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 20 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	7:6	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	49 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to RB Timothy Miller for 3 yards. Tackled by SS Ryan Reininger.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	6:27	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	7	</td>	<td>	48 PHI	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for 9 yards. Tackled by DT Leon Payne.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	6:6	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	39 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 0 yards. Tackled by DE Jake Moore.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	5:29	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	10	</td>	<td>	39 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 0 yards. Tackled by DE Francis Young and ILB Jose Ortega.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	4:49	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	10	</td>	<td>	39 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Christopher Lee for 10 yards. Tackled by ILB Jose Ortega.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	4:26	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	29 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for -1 yard. Tackled by OLB Emory Hightower.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	3:44	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	11	</td>	<td>	30 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to RB Timothy Miller for 0 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	3:3	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	11	</td>	<td>	30 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for TE Henry Green.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	2:45	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	11	</td>	<td>	30 PHI	</td>	<td>	Field Goal	</td>	<td>	K Michael Cox's 48 yard field goal attempt is good.	</td>	<td>	14	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	2:40	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 69 yards. Fielded 4 yards. deep in the endzone by RB Michael Vance Touchback.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	2:40	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 3 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	2:9	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	7	</td>	<td>	28 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 3 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	1:42	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	4	</td>	<td>	31 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Enrique Nunes for 10 yards. Tackled by CB Amara Rodriguez.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	1:20	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	41 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool scrambles for 5 yards. Tackled by OLB Jacob Wiseman.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	1:16	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	5	</td>	<td>	46 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 5 yards. Tackled by CB Thomas Calame.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	0:55	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	49 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Charles Thomas.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	0:51	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	49 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Thrown Away.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	0:46	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	10	</td>	<td>	49 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Enrique Nunes for 32 yards. Tackled by CB Kevin Kline.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	2	</td>	<td>	0:27	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	17 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 3 yards. Tackled by DE Michael Dewitt.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	15:00	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 PHI	</td>	<td>	Kickoff	</td>	<td>	K Gary Brooks kicks for 55 yards. Fielded at the 10 yardline by RB Timothy MillerRB Timothy Miller returns the ball 30 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
